15634430,해방촌,
3694651,영등포중앙시장,
3197992,국립극장,
2015883,굿모닝시티,
3808256,이태원 앤틱 가구 거리,
3805519,진관사,
15075839,현대시티아울렛,
2571695,와룡 공원,
2428773,회현 지하 상가,
4798710,송파나루공원,
1176552,허준 박물관,
7891676,가든파이브,
2341861,여의도 샛강 생태 공원,
10677413,남산야외식물원,
8749178,평화시장,
14789834,서울상상나라,
1831099,국립국악원,
7353795,북촌 전망대,
12871271,덕수궁 돌담길,
11928572,삼청공원,
2255376,낙산 묘각사,
12928976,DMC홍보관,
1957629,국회 의사당,
4235275,샤롯데 씨어터,
1960133,중앙고등학교 (겨울연가 촬영지),
10253198,서울파이낸스센터,
13412916,쎈토이뮤지엄&쇼룸,
5924658,서울 미술관,
1804662,홍릉 수목원,
8404036,인사동 홍보관 관광안내소,
7891946,서울성공회성당,
10464413,시네코아비밥전용관,
10897838,북악스카이웨이,
632509,화계사,
12339161,잠실종합운동장,
10020510,한성백제문화제,
10720451,종각젊음의거리,
3808303,국립민속박물관 어린이박물관,
592450,농업 박물관,
12841946,롯데콘서트홀,
4094877,충무아트센터,
1862199,명동 서초 불한증막,
12986927,문화비축기지,
7264066,수성동 계곡,
7891943,몽촌토성,
4427670,서울대학교병원 의학박물관,
4095681,장충단공원,
592482,봉원사,
4798698,서울 올림픽 기념관,
1992546,명동밀리오레,
14147296,서울 밤도깨비 야시장,
11879469,동대문지하쇼핑센터,
3805517,태릉,
15272214,마포 농수산물 시장,
7060838,청계천 박물관,
12763399,평화의소녀상,
10376613,망원 한강공원,
14975458,종로타워,
8693245,3D블랙아트 박물관,
13004245,공덕시장,
4094936,나이프갤러리,
2209195,뚝섬 전망문화 콤플렉스 J-Bug,
4095680,낙성대공원,
8724136,북악산,
14957337,피크닉,
11879639,해밀턴,
7154939,청담동 패션 거리,
10897845,북악팔각정,
11879393,눈스퀘어,
592520,마로니에 공원,
11879847,서울 시내버스,
14202347,에스엠 엔터테인먼트 센터,
7892136,배재학당역사박물관,
3805479,독립문,
8121688,충무로 애완동물 거리,
4096226,마포아트센터,
7891918,소마미술관,
14202847,경춘선숲길,
4798717,삼청공원,
8076992,갤러리 현대,
1946087,그랜드 마트,
13436805,김포공항 전망대,
3136733,칠궁,
3805494,이리자 한복전시관,
7891917,약현성당,
15079785,앙카라 공원,
13433251,국제선센터,
11850476,서울창포원,
14202310,화랑대역,
592497,도선사,
6847894,양화진 외국인 선교사 묘원,
2341869,환기 미술관,
14916828,성우이용원,
4095494,육군박물관,
10543181,윤동주 문학관,
3805629,구러시아 공사관,
3808305,연세로,
4427522,서울시립미술관 남서울분관,
10536576,이화벽화마을,
2476657,비보이 시티 인 서울,
9569019,원각사지 10층석탑,
17341223,K현대미술관,
4095657,암사동선사주거지 원시생활전시관,
2519674,서울 애니메이션 센터,
13319719,영천시장,
13169763,올림픽공원 세계평화의문,
4438716,덕수궁 중명전,
8693250,목동종합운동장,
5924188,트릭 월드,
3808276,혜화문 (홍화문),
14956599,종로3가 포장마차거리,
13999912,강남스타일 말춤 무대,
6197433,덕수궁미술관,
4323885,충정로 난타극장,
12238654,롯데몰 은평점,
14135425,종묘광장공원,
3670803,서울대학교 미술관,
7118734,북촌 문화 센터,
7717447,환구단,
14987459,오지엔 이 스포츠 스타디움,
12242525,스트리트뮤지엄,
2269011,문묘,
7892126,대각사,
17382696,봉화산,
4798608,인사아트센터,
592440,사직 공원,
2041644,사춤 시어터,
7891951,엠플라자,
7154877,국립중앙도서관,
7987267,청운공원,
8019604,서대문독립공원,
8449187,한성 백제 박물관,
6876616,서울 석촌동 고분군,
3808298,호림아트센터 신사분관,
15674964,청하고려 인삼박물관,
4094834,갤러리 더 스페이스,
4095486,암사동선사주거지,
14101026,종로 성당,
12499622,백범광장,
3805440,동림매듭박물관,
